b200e_rank,country,iso3,physical_gpus_2027,reported_or_inferred_type_mix,type_evidence,b200_equivalents_low,b200_equivalents_central,b200_equivalents_high,b200e_per_physical_central,normalization_notes
1,United States,USA,8500000,"Epoch non-China proxy: A100 0.85M; H100/H200 4.25M; B200 2.01M; B300 1.69M. 2027 additions modeled mostly B300/Rubin.",Low,5500000,7400000,10000000,0.871,"No public national SKU inventory. Range combines the Epoch generation mix with alternative US-location and 2027-addition mixes; operator totals are not added again."
2,China,CHN,4400000,"Epoch China proxy: A100 72.7K; A800 121.4K; H20 1.490M; H800 115.4K; later H200 arrivals small.",Medium,250000,430000,900000,0.098,"Large physical stock is dominated in public estimates by H20 and older/export-compliant parts. The 4.4M shipment-stock proxy is broader than Epoch's typed leading-package sample."
3,Norway,NOR,133000,"52K GB300; >30K Rubin; ~51K Tydal type undisclosed advanced NVIDIA.",High,133000,172000,208000,1.293,"Known Narvik models cover >82K. Tydal is modeled between Blackwell and Rubin-class compute."
4,Australia,AUS,119200,"55.2K Project Southgate GB300; Sharon 64K advanced NVIDIA mix not publicly split.",Medium,116000,125000,140000,1.049,"Southgate is normalized as Grace Blackwell. Sharon is bounded around Blackwell/Grace Blackwell with Rubin upside."
5,United Arab Emirates,ARE,100000,"Stargate 200MW NVIDIA platform; exact rack/SKU population undisclosed.",Low,85000,111000,140000,1.110,"Central case treats the modeled physical population as Grace Blackwell-class. Range allows Hopper/Blackwell mix or Rubin-class upside."
6,Canada,CAN,125000,"IREN 23.3K H100/H200/B200/B300/GB300; later IREN and Saskatchewan NVIDIA mix undisclosed.",Medium,70000,110000,145000,0.880,"Known mixed-generation fleet plus predominantly Blackwell-era expansion; Saskatchewan is also a physical-count model."
7,Indonesia,IDN,98000,"Central 200MW Zankore phase modeled as GB300 NVL72; 2,304 existing GPUs are older/unspecified.",Medium,96000,107000,130000,1.092,"Most of the scenario is an inferred Grace Blackwell rack population, not a disclosed GPU order."
8,South Korea,KOR,96336,"13K first delivery includes B200; 9,704 due H1 2027 includes B300/Rubin; remainder latest-generation mix not split.",Medium,78000,101000,135000,1.048,"Central mix is near B200-equivalent; range reflects unknown shares of older Hopper and Rubin."
9,Armenia,ARM,70512,"6,144 B200 + 512 B300 operational; remaining Firebird roadmap disclosed as Blackwell and Rubin without a split.",High,70512,87000,120000,1.234,"Central case assumes 70% Blackwell-class and 30% Rubin in the undisclosed roadmap balance. Bounds put that balance at all B200 or all Rubin."
10,United Kingdom,GBR,85000,"Blackwell Ultra.",High,85000,85000,85000,1.000,"Dense BF16 gives B300/Blackwell Ultra the same factor as B200; its memory and attention advantages are deliberately excluded."
11,France,FRA,80000,"18K Grace Blackwell systems; funded GB300 tranche may overlap; remaining Nebius/Mistral capacity advanced type not split.",Medium,70000,82000,100000,1.025,"Central case is mostly Blackwell/Grace Blackwell. System-vs-GPU ambiguity and overlap keep the range broad."
12,Finland,FIN,64500,"4.5K B300; up to 60K Mäntsälä placement capacity with SKU mix undisclosed.",Low,40000,64500,80000,1.000,"Central case uses B200-class compute for the placement ceiling; lower case allows a substantial Hopper share."
13,Malaysia,MYS,56181,"~15.4K performance-derived GB200 NVL72; ~36K Aolani/ByteDance advanced NVIDIA; 4,752 Bitdeer advanced mix.",Medium,45000,57000,65000,1.015,"YTL count is itself performance-derived; other model assignments are reported or inferred rather than fully disclosed."
14,India,IND,63000,"8K H100; 20,736 Yotta B300; 10K L&T B300; remaining scenario mix not split.",High,35000,52000,67000,0.825,"More than half the point estimate has an identified family. Unknown balance ranges from Hopper to Blackwell/Rubin."
15,Spain,ESP,52000,"10,224 H200; ~6.9K public/HPC mixed older systems; 2027 cloud expansion type undisclosed.",Medium,25000,41000,55000,0.788,"Central case applies Hopper/older factors to known systems and Blackwell-class compute to most expansion."
16,Kazakhstan,KAZ,30896,"896 H200; first 50MW Firebird phase modeled as GB300/Rubin-class.",Medium,31000,39500,54000,1.279,"The physical count is MW-proportional. Type range spans Blackwell/Grace Blackwell through Rubin for the future phase."
17,Saudi Arabia,SAU,34000,"2.8K GH200; 416 H100; ~7.9K V100; 18K GB300; up to 5K newer SDAIA GPUs.",High,23000,27000,32000,0.794,"Most of the point estimate has an identified generation; the old V100 fleet contributes little normalized compute."
18,Taiwan,TWN,27000,"10K Blackwell; remaining GMI/Taiwan Mobile, NCHC, Ubilink and Taipei-1 fleets are mixed Hopper/Blackwell.",Medium,17000,23000,30000,0.852,"Central case weights the disclosed Blackwell project at 1.0 and the balance between Hopper and Blackwell."
19,Germany,DEU,42000,"24K GH200; 10K DGX B200 and RTX PRO Blackwell mix; remaining systems mixed.",High,16000,22000,31000,0.524,"GH200 has Hopper compute. RTX PRO Blackwell is not treated as a full B200; exact split is undisclosed."
20,Japan,JPN,37400,"5,080 B300; Sakura includes H100/HGX B200; older operational ledger is largely mixed A100/Hopper.",Medium,12000,21000,31000,0.561,"Central case preserves the older-generation drag rather than treating every signed GPU as Blackwell."
21,Israel,ISR,20000,"4K B200 exact; remaining 'tens of thousands' deployment assumed mainly Blackwell-era NVIDIA.",Low,12000,20000,28000,1.000,"Only 4K has an exact SKU and count; both physical total and remaining type mix are scenario assumptions."
22,Italy,ITA,36000,"Existing >20K fleet mixes V100/A100 and newer systems; >8K GB200 due 2027; Domyn 5,760 Grace Blackwell-class.",Medium,14000,19500,26000,0.542,"Older combined infrastructure is heavily discounted; new Grace Blackwell systems carry most normalized compute."
23,Sweden,SWE,20000,"1,528 GH200; 400 GB200; Airon and CoreWeave expansion advanced NVIDIA but not fully split.",Medium,11000,16000,25000,0.800,"Named Hopper/Grace Blackwell systems are exact; the larger expansion mix is bounded from Hopper to Rubin."
24,Portugal,PRT,12600,"Blackwell Ultra.",High,12600,12600,12600,1.000,"The 66K Rubin rollout starting late 2027 is excluded from the physical point and normalization."
25,Switzerland,CHE,12500,"10,752 GH200; 192 H100; remaining smaller fleets mixed older NVIDIA.",High,4800,5100,6000,0.408,"The count is physically large but dominated by Hopper; decommissioned P100s remain excluded."
26,Netherlands,NLD,1920,"SURF 640 and Azure Pioneer-WEU ~1,280; exact SKU mix unresolved.",Low,300,850,1900,0.443,"Central case is Hopper-equivalent; bounds allow older A100-heavy or Blackwell-heavy mixes."

